date,product,category,qty,price
2024-01-05,Basmati Rice 5kg,Groceries,10,250.0
2024-01-06,Toor Dal 1kg,Groceries,25,140.5
2024-01-07,Sunflower Oil 1L,Groceries,15,180.0
2024-01-08,Samsung LED TV 43inch,Electronics,2,32000.0
2024-01-09,Notebook A4 Pack,Stationery,50,120.0
2024-01-10,Cotton Bedsheet Set,Home & Living,8,850.0
2024-01-11,Whole Wheat Flour 10kg,Groceries,20,420.0
2024-01-12,Bluetooth Earphones,Electronics,5,1299.0
2024-01-13,Ballpoint Pen Box,Stationery,30,95.0
2024-01-14,Pressure Cooker 5L,Kitchen,4,2200.0
2024-01-15,Turmeric Powder 500g,Spices,40,85.0
2024-01-16,Steel Water Bottle,Kitchen,12,350.0
2024-01-17,Red Chilli Powder 1kg,Spices,18,160.0
2024-01-18,Mens Casual Shirt,Clothing,7,599.0
2024-01-19,Kids School Bag,Stationery,3,1450.0
